Region;Brott;År;Period;Antal;/100 000 inv
Askersund kommun;Narkotikabrott;2015;Jan;18;162
Askersund kommun;Narkotikabrott;2015;Feb;6;54
Askersund kommun;Narkotikabrott;2015;Mar;11;99
Askersund kommun;Narkotikabrott;2015;Apr;14;126
Askersund kommun;Narkotikabrott;2015;Maj;12;108
Askersund kommun;Narkotikabrott;2015;Jun;1;9
Askersund kommun;Narkotikabrott;2015;Jul;6;54
Askersund kommun;Narkotikabrott;2015;Aug;14;126
Askersund kommun;Narkotikabrott;2015;Sep;18;162
Askersund kommun;Narkotikabrott;2015;Okt;10;90
Askersund kommun;Narkotikabrott;2015;Nov;26;233
Askersund kommun;Narkotikabrott;2015;Dec;22;198
Avesta kommun;Narkotikabrott;2015;Jan;11;49
Avesta kommun;Narkotikabrott;2015;Feb;7;31
Avesta kommun;Narkotikabrott;2015;Mar;17;76
Avesta kommun;Narkotikabrott;2015;Apr;23;103
Avesta kommun;Narkotikabrott;2015;Maj;9;40
Avesta kommun;Narkotikabrott;2015;Jun;7;31
Avesta kommun;Narkotikabrott;2015;Jul;12;54
Avesta kommun;Narkotikabrott;2015;Aug;23;103
Avesta kommun;Narkotikabrott;2015;Sep;57;254
Avesta kommun;Narkotikabrott;2015;Okt;12;54
Avesta kommun;Narkotikabrott;2015;Nov;21;94
Avesta kommun;Narkotikabrott;2015;Dec;8;36
Bengtsfors kommun;Narkotikabrott;2015;Jan;7;73
Bengtsfors kommun;Narkotikabrott;2015;Feb;6;63
Bengtsfors kommun;Narkotikabrott;2015;Mar;12;125
Bengtsfors kommun;Narkotikabrott;2015;Apr;23;240
Bengtsfors kommun;Narkotikabrott;2015;Maj;7;73
Bengtsfors kommun;Narkotikabrott;2015;Jun;5;52
Bengtsfors kommun;Narkotikabrott;2015;Jul;2;21
Bengtsfors kommun;Narkotikabrott;2015;Aug;0;0
Bengtsfors kommun;Narkotikabrott;2015;Sep;0;0
Bengtsfors kommun;Narkotikabrott;2015;Okt;1;10
Bengtsfors kommun;Narkotikabrott;2015;Nov;8;83
Bengtsfors kommun;Narkotikabrott;2015;Dec;2;21
Berg kommun;Narkotikabrott;2015;Jan;3;43
Berg kommun;Narkotikabrott;2015;Feb;3;43
Berg kommun;Narkotikabrott;2015;Mar;13;184
Berg kommun;Narkotikabrott;2015;Apr;4;57
Berg kommun;Narkotikabrott;2015;Maj;5;71
Berg kommun;Narkotikabrott;2015;Jun;1;14
Berg kommun;Narkotikabrott;2015;Jul;0;0
Berg kommun;Narkotikabrott;2015;Aug;2;28
Berg kommun;Narkotikabrott;2015;Sep;3;43
Berg kommun;Narkotikabrott;2015;Okt;0;0
Berg kommun;Narkotikabrott;2015;Nov;1;14
Berg kommun;Narkotikabrott;2015;Dec;0;0
Bjurholm kommun;Narkotikabrott;2015;Jan;0;0
Bjurholm kommun;Narkotikabrott;2015;Feb;2;82
Bjurholm kommun;Narkotikabrott;2015;Mar;0;0
Bjurholm kommun;Narkotikabrott;2015;Apr;0;0
Bjurholm kommun;Narkotikabrott;2015;Maj;0;0
Bjurholm kommun;Narkotikabrott;2015;Jun;0;0
Bjurholm kommun;Narkotikabrott;2015;Jul;0;0
Bjurholm kommun;Narkotikabrott;2015;Aug;6;245
Bjurholm kommun;Narkotikabrott;2015;Sep;0;0
Bjurholm kommun;Narkotikabrott;2015;Okt;0;0
Bjurholm kommun;Narkotikabrott;2015;Nov;4;163
Bjurholm kommun;Narkotikabrott;2015;Dec;0;0
Bjuv kommun;Narkotikabrott;2015;Jan;16;107
Bjuv kommun;Narkotikabrott;2015;Feb;14;94
Bjuv kommun;Narkotikabrott;2015;Mar;23;154
Bjuv kommun;Narkotikabrott;2015;Apr;13;87
Bjuv kommun;Narkotikabrott;2015;Maj;18;121
Bjuv kommun;Narkotikabrott;2015;Jun;15;100
Bjuv kommun;Narkotikabrott;2015;Jul;9;60
Bjuv kommun;Narkotikabrott;2015;Aug;3;20
Bjuv kommun;Narkotikabrott;2015;Sep;14;94
Bjuv kommun;Narkotikabrott;2015;Okt;9;60
Bjuv kommun;Narkotikabrott;2015;Nov;6;40
Bjuv kommun;Narkotikabrott;2015;Dec;7;47
Boden kommun;Narkotikabrott;2015;Jan;17;61
Boden kommun;Narkotikabrott;2015;Feb;24;86
Boden kommun;Narkotikabrott;2015;Mar;16;57
Boden kommun;Narkotikabrott;2015;Apr;18;65
Boden kommun;Narkotikabrott;2015;Maj;14;50
Boden kommun;Narkotikabrott;2015;Jun;22;79
Boden kommun;Narkotikabrott;2015;Jul;4;14
Boden kommun;Narkotikabrott;2015;Aug;19;68
Boden kommun;Narkotikabrott;2015;Sep;28;100
Boden kommun;Narkotikabrott;2015;Okt;21;75
Boden kommun;Narkotikabrott;2015;Nov;17;61
Boden kommun;Narkotikabrott;2015;Dec;22;79
Bollebygd kommun;Narkotikabrott;2015;Jan;10;115
Bollebygd kommun;Narkotikabrott;2015;Feb;6;69
Bollebygd kommun;Narkotikabrott;2015;Mar;8;92
Bollebygd kommun;Narkotikabrott;2015;Apr;4;46
Bollebygd kommun;Narkotikabrott;2015;Maj;0;0
Bollebygd kommun;Narkotikabrott;2015;Jun;7;80
Bollebygd kommun;Narkotikabrott;2015;Jul;5;57
Bollebygd kommun;Narkotikabrott;2015;Aug;3;34
Bollebygd kommun;Narkotikabrott;2015;Sep;9;103
Bollebygd kommun;Narkotikabrott;2015;Okt;7;80
Bollebygd kommun;Narkotikabrott;2015;Nov;7;80
Bollebygd kommun;Narkotikabrott;2015;Dec;1;11
Bollnäs kommun;Narkotikabrott;2015;Jan;40;151
Bollnäs kommun;Narkotikabrott;2015;Feb;15;57
Bollnäs kommun;Narkotikabrott;2015;Mar;5;19
Bollnäs kommun;Narkotikabrott;2015;Apr;11;42
Bollnäs kommun;Narkotikabrott;2015;Maj;9;34
Bollnäs kommun;Narkotikabrott;2015;Jun;16;60
Bollnäs kommun;Narkotikabrott;2015;Jul;9;34
Bollnäs kommun;Narkotikabrott;2015;Aug;16;60
Bollnäs kommun;Narkotikabrott;2015;Sep;15;57
Bollnäs kommun;Narkotikabrott;2015;Okt;4;15
Bollnäs kommun;Narkotikabrott;2015;Nov;11;42
Bollnäs kommun;Narkotikabrott;2015;Dec;29;109
Borgholm kommun;Narkotikabrott;2015;Jan;8;75
Borgholm kommun;Narkotikabrott;2015;Feb;2;19
Borgholm kommun;Narkotikabrott;2015;Mar;6;56
Borgholm kommun;Narkotikabrott;2015;Apr;1;9
Borgholm kommun;Narkotikabrott;2015;Maj;3;28
Borgholm kommun;Narkotikabrott;2015;Jun;11;103
Borgholm kommun;Narkotikabrott;2015;Jul;0;0
Borgholm kommun;Narkotikabrott;2015;Aug;9;84
Borgholm kommun;Narkotikabrott;2015;Sep;0;0
Borgholm kommun;Narkotikabrott;2015;Okt;0;0
Borgholm kommun;Narkotikabrott;2015;Nov;3;28
Borgholm kommun;Narkotikabrott;2015;Dec;1;9
Borlänge kommun;Narkotikabrott;2015;Jan;40;79
Borlänge kommun;Narkotikabrott;2015;Feb;28;55
Borlänge kommun;Narkotikabrott;2015;Mar;42;83
Borlänge kommun;Narkotikabrott;2015;Apr;23;45
Borlänge kommun;Narkotikabrott;2015;Maj;114;224
Borlänge kommun;Narkotikabrott;2015;Jun;32;63
Borlänge kommun;Narkotikabrott;2015;Jul;12;24
Borlänge kommun;Narkotikabrott;2015;Aug;28;55
Borlänge kommun;Narkotikabrott;2015;Sep;34;67
Borlänge kommun;Narkotikabrott;2015;Okt;11;22
Borlänge kommun;Narkotikabrott;2015;Nov;31;61
Borlänge kommun;Narkotikabrott;2015;Dec;29;57
Borås kommun;Narkotikabrott;2015;Jan;121;112
Borås kommun;Narkotikabrott;2015;Feb;143;133
Borås kommun;Narkotikabrott;2015;Mar;182;169
Borås kommun;Narkotikabrott;2015;Apr;126;117
Borås kommun;Narkotikabrott;2015;Maj;173;161
Borås kommun;Narkotikabrott;2015;Jun;116;108
Borås kommun;Narkotikabrott;2015;Jul;85;79
Borås kommun;Narkotikabrott;2015;Aug;113;105
Borås kommun;Narkotikabrott;2015;Sep;135;125
Borås kommun;Narkotikabrott;2015;Okt;162;150
Borås kommun;Narkotikabrott;2015;Nov;123;114
Borås kommun;Narkotikabrott;2015;Dec;135;125
Botkyrka kommun;Narkotikabrott;2015;Jan;82;92
Botkyrka kommun;Narkotikabrott;2015;Feb;73;82
Botkyrka kommun;Narkotikabrott;2015;Mar;85;95
Botkyrka kommun;Narkotikabrott;2015;Apr;99;111
Botkyrka kommun;Narkotikabrott;2015;Maj;79;89
Botkyrka kommun;Narkotikabrott;2015;Jun;78;87
Botkyrka kommun;Narkotikabrott;2015;Jul;35;39
Botkyrka kommun;Narkotikabrott;2015;Aug;78;87
Botkyrka kommun;Narkotikabrott;2015;Sep;125;140
Botkyrka kommun;Narkotikabrott;2015;Okt;113;127
Botkyrka kommun;Narkotikabrott;2015;Nov;37;41
Botkyrka kommun;Narkotikabrott;2015;Dec;66;74
Boxholm kommun;Narkotikabrott;2015;Jan;1;19
Boxholm kommun;Narkotikabrott;2015;Feb;2;38
Boxholm kommun;Narkotikabrott;2015;Mar;0;0
Boxholm kommun;Narkotikabrott;2015;Apr;0;0
