Region;Brott;År;Period;Antal;/100 000 inv
Askersund kommun;Våldsbrott ;2015;Jan;9;81
Askersund kommun;Våldsbrott ;2015;Feb;2;18
Askersund kommun;Våldsbrott ;2015;Mar;9;81
Askersund kommun;Våldsbrott ;2015;Apr;4;36
Askersund kommun;Våldsbrott ;2015;Maj;2;18
Askersund kommun;Våldsbrott ;2015;Jun;11;99
Askersund kommun;Våldsbrott ;2015;Jul;13;117
Askersund kommun;Våldsbrott ;2015;Aug;4;36
Askersund kommun;Våldsbrott ;2015;Sep;23;207
Askersund kommun;Våldsbrott ;2015;Okt;3;27
Askersund kommun;Våldsbrott ;2015;Nov;19;171
Askersund kommun;Våldsbrott ;2015;Dec;15;135
Avesta kommun;Våldsbrott ;2015;Jan;11;49
Avesta kommun;Våldsbrott ;2015;Feb;24;107
Avesta kommun;Våldsbrott ;2015;Mar;15;67
Avesta kommun;Våldsbrott ;2015;Apr;10;45
Avesta kommun;Våldsbrott ;2015;Maj;13;58
Avesta kommun;Våldsbrott ;2015;Jun;28;125
Avesta kommun;Våldsbrott ;2015;Jul;30;134
Avesta kommun;Våldsbrott ;2015;Aug;14;62
Avesta kommun;Våldsbrott ;2015;Sep;33;147
Avesta kommun;Våldsbrott ;2015;Okt;8;36
Avesta kommun;Våldsbrott ;2015;Nov;16;71
Avesta kommun;Våldsbrott ;2015;Dec;24;107
Bengtsfors kommun;Våldsbrott ;2015;Jan;5;52
Bengtsfors kommun;Våldsbrott ;2015;Feb;4;42
Bengtsfors kommun;Våldsbrott ;2015;Mar;4;42
Bengtsfors kommun;Våldsbrott ;2015;Apr;5;52
Bengtsfors kommun;Våldsbrott ;2015;Maj;1;10
Bengtsfors kommun;Våldsbrott ;2015;Jun;4;42
Bengtsfors kommun;Våldsbrott ;2015;Jul;6;63
Bengtsfors kommun;Våldsbrott ;2015;Aug;6;63
Bengtsfors kommun;Våldsbrott ;2015;Sep;3;31
Bengtsfors kommun;Våldsbrott ;2015;Okt;5;52
Bengtsfors kommun;Våldsbrott ;2015;Nov;5;52
Bengtsfors kommun;Våldsbrott ;2015;Dec;7;73
Berg kommun;Våldsbrott ;2015;Jan;0;0
Berg kommun;Våldsbrott ;2015;Feb;2;28
Berg kommun;Våldsbrott ;2015;Mar;0;0
Berg kommun;Våldsbrott ;2015;Apr;11;156
Berg kommun;Våldsbrott ;2015;Maj;5;71
Berg kommun;Våldsbrott ;2015;Jun;5;71
Berg kommun;Våldsbrott ;2015;Jul;2;28
Berg kommun;Våldsbrott ;2015;Aug;8;113
Berg kommun;Våldsbrott ;2015;Sep;10;142
Berg kommun;Våldsbrott ;2015;Okt;8;113
Berg kommun;Våldsbrott ;2015;Nov;7;99
Berg kommun;Våldsbrott ;2015;Dec;4;57
Bjurholm kommun;Våldsbrott ;2015;Jan;5;204
Bjurholm kommun;Våldsbrott ;2015;Feb;2;82
Bjurholm kommun;Våldsbrott ;2015;Mar;0;0
Bjurholm kommun;Våldsbrott ;2015;Apr;2;82
Bjurholm kommun;Våldsbrott ;2015;Maj;0;0
Bjurholm kommun;Våldsbrott ;2015;Jun;0;0
Bjurholm kommun;Våldsbrott ;2015;Jul;0;0
Bjurholm kommun;Våldsbrott ;2015;Aug;1;41
Bjurholm kommun;Våldsbrott ;2015;Sep;0;0
Bjurholm kommun;Våldsbrott ;2015;Okt;2;82
Bjurholm kommun;Våldsbrott ;2015;Nov;0;0
Bjurholm kommun;Våldsbrott ;2015;Dec;1;41
Bjuv kommun;Våldsbrott ;2015;Jan;14;94
Bjuv kommun;Våldsbrott ;2015;Feb;10;67
Bjuv kommun;Våldsbrott ;2015;Mar;12;80
Bjuv kommun;Våldsbrott ;2015;Apr;18;121
Bjuv kommun;Våldsbrott ;2015;Maj;18;121
Bjuv kommun;Våldsbrott ;2015;Jun;8;54
Bjuv kommun;Våldsbrott ;2015;Jul;18;121
Bjuv kommun;Våldsbrott ;2015;Aug;25;167
Bjuv kommun;Våldsbrott ;2015;Sep;19;127
Bjuv kommun;Våldsbrott ;2015;Okt;13;87
Bjuv kommun;Våldsbrott ;2015;Nov;18;121
Bjuv kommun;Våldsbrott ;2015;Dec;17;114
Boden kommun;Våldsbrott ;2015;Jan;27;97
Boden kommun;Våldsbrott ;2015;Feb;20;72
Boden kommun;Våldsbrott ;2015;Mar;31;111
Boden kommun;Våldsbrott ;2015;Apr;17;61
Boden kommun;Våldsbrott ;2015;Maj;26;93
Boden kommun;Våldsbrott ;2015;Jun;19;68
Boden kommun;Våldsbrott ;2015;Jul;29;104
Boden kommun;Våldsbrott ;2015;Aug;41;147
Boden kommun;Våldsbrott ;2015;Sep;23;82
Boden kommun;Våldsbrott ;2015;Okt;29;104
Boden kommun;Våldsbrott ;2015;Nov;23;82
Boden kommun;Våldsbrott ;2015;Dec;29;104
Bollebygd kommun;Våldsbrott ;2015;Jan;0;0
Bollebygd kommun;Våldsbrott ;2015;Feb;1;11
Bollebygd kommun;Våldsbrott ;2015;Mar;5;57
Bollebygd kommun;Våldsbrott ;2015;Apr;0;0
Bollebygd kommun;Våldsbrott ;2015;Maj;2;23
Bollebygd kommun;Våldsbrott ;2015;Jun;4;46
Bollebygd kommun;Våldsbrott ;2015;Jul;8;92
Bollebygd kommun;Våldsbrott ;2015;Aug;4;46
Bollebygd kommun;Våldsbrott ;2015;Sep;2;23
Bollebygd kommun;Våldsbrott ;2015;Okt;5;57
Bollebygd kommun;Våldsbrott ;2015;Nov;5;57
Bollebygd kommun;Våldsbrott ;2015;Dec;2;23
Bollnäs kommun;Våldsbrott ;2015;Jan;23;87
Bollnäs kommun;Våldsbrott ;2015;Feb;17;64
Bollnäs kommun;Våldsbrott ;2015;Mar;31;117
Bollnäs kommun;Våldsbrott ;2015;Apr;26;98
Bollnäs kommun;Våldsbrott ;2015;Maj;20;75
Bollnäs kommun;Våldsbrott ;2015;Jun;27;102
Bollnäs kommun;Våldsbrott ;2015;Jul;25;94
Bollnäs kommun;Våldsbrott ;2015;Aug;28;106
Bollnäs kommun;Våldsbrott ;2015;Sep;31;117
Bollnäs kommun;Våldsbrott ;2015;Okt;17;64
Bollnäs kommun;Våldsbrott ;2015;Nov;24;91
Bollnäs kommun;Våldsbrott ;2015;Dec;52;196
Borgholm kommun;Våldsbrott ;2015;Jan;2;19
Borgholm kommun;Våldsbrott ;2015;Feb;2;19
Borgholm kommun;Våldsbrott ;2015;Mar;2;19
Borgholm kommun;Våldsbrott ;2015;Apr;4;37
Borgholm kommun;Våldsbrott ;2015;Maj;2;19
Borgholm kommun;Våldsbrott ;2015;Jun;14;131
Borgholm kommun;Våldsbrott ;2015;Jul;25;234
Borgholm kommun;Våldsbrott ;2015;Aug;6;56
Borgholm kommun;Våldsbrott ;2015;Sep;9;84
Borgholm kommun;Våldsbrott ;2015;Okt;3;28
Borgholm kommun;Våldsbrott ;2015;Nov;8;75
Borgholm kommun;Våldsbrott ;2015;Dec;24;225
Borlänge kommun;Våldsbrott ;2015;Jan;52;102
Borlänge kommun;Våldsbrott ;2015;Feb;53;104
Borlänge kommun;Våldsbrott ;2015;Mar;63;124
Borlänge kommun;Våldsbrott ;2015;Apr;47;92
Borlänge kommun;Våldsbrott ;2015;Maj;29;57
Borlänge kommun;Våldsbrott ;2015;Jun;44;87
Borlänge kommun;Våldsbrott ;2015;Jul;55;108
Borlänge kommun;Våldsbrott ;2015;Aug;48;94
Borlänge kommun;Våldsbrott ;2015;Sep;41;81
Borlänge kommun;Våldsbrott ;2015;Okt;62;122
Borlänge kommun;Våldsbrott ;2015;Nov;48;94
Borlänge kommun;Våldsbrott ;2015;Dec;33;65
Borås kommun;Våldsbrott ;2015;Jan;85;79
Borås kommun;Våldsbrott ;2015;Feb;91;84
Borås kommun;Våldsbrott ;2015;Mar;104;97
Borås kommun;Våldsbrott ;2015;Apr;103;96
Borås kommun;Våldsbrott ;2015;Maj;87;81
Borås kommun;Våldsbrott ;2015;Jun;90;84
Borås kommun;Våldsbrott ;2015;Jul;71;66
Borås kommun;Våldsbrott ;2015;Aug;83;77
Borås kommun;Våldsbrott ;2015;Sep;111;103
Borås kommun;Våldsbrott ;2015;Okt;108;100
Borås kommun;Våldsbrott ;2015;Nov;87;81
Borås kommun;Våldsbrott ;2015;Dec;113;105
Botkyrka kommun;Våldsbrott ;2015;Jan;110;123
Botkyrka kommun;Våldsbrott ;2015;Feb;129;145
Botkyrka kommun;Våldsbrott ;2015;Mar;112;126
Botkyrka kommun;Våldsbrott ;2015;Apr;124;139
Botkyrka kommun;Våldsbrott ;2015;Maj;123;138
Botkyrka kommun;Våldsbrott ;2015;Jun;116;130
Botkyrka kommun;Våldsbrott ;2015;Jul;97;109
Botkyrka kommun;Våldsbrott ;2015;Aug;139;156
Botkyrka kommun;Våldsbrott ;2015;Sep;107;120
Botkyrka kommun;Våldsbrott ;2015;Okt;127;142
Botkyrka kommun;Våldsbrott ;2015;Nov;119;133
Botkyrka kommun;Våldsbrott ;2015;Dec;105;118
Boxholm kommun;Våldsbrott ;2015;Jan;3;56
Boxholm kommun;Våldsbrott ;2015;Feb;0;0
Boxholm kommun;Våldsbrott ;2015;Mar;2;38
Boxholm kommun;Våldsbrott ;2015;Apr;0;0
Boxholm kommun;Våldsbrott ;2015;Maj;3;56
Boxholm kommun;Våldsbrott ;2015;Jun;3;56
Boxholm kommun;Våldsbrott ;2015;Jul;0;0
Boxholm kommun;Våldsbrott ;2015;Aug;4;75
Boxholm kommun;Våldsbrott ;2015;Sep;0;0
Boxholm kommun;Våldsbrott ;2015;Okt;4;75
Boxholm kommun;Våldsbrott ;2015;Nov;0;0
Boxholm kommun;Våldsbrott ;2015;Dec;2;38
Bromölla kommun;Våldsbrott ;2015;Jan;10;80
Bromölla kommun;Våldsbrott ;2015;Feb;7;56
Bromölla kommun;Våldsbrott ;2015;Mar;16;128
Bromölla kommun;Våldsbrott ;2015;Apr;4;32
Bromölla kommun;Våldsbrott ;2015;Maj;5;40
Bromölla kommun;Våldsbrott ;2015;Jun;5;40
Bromölla kommun;Våldsbrott ;2015;Jul;6;48
Bromölla kommun;Våldsbrott ;2015;Aug;7;56
Bromölla kommun;Våldsbrott ;2015;Sep;3;24
Bromölla kommun;Våldsbrott ;2015;Okt;13;104
Bromölla kommun;Våldsbrott ;2015;Nov;6;48
Bromölla kommun;Våldsbrott ;2015;Dec;6;48
Bräcke kommun;Våldsbrott ;2015;Jan;0;0
Bräcke kommun;Våldsbrott ;2015;Feb;2;31
Bräcke kommun;Våldsbrott ;2015;Mar;3;46
Bräcke kommun;Våldsbrott ;2015;Apr;0;0
Bräcke kommun;Våldsbrott ;2015;Maj;4;62
Bräcke kommun;Våldsbrott ;2015;Jun;8;124
Bräcke kommun;Våldsbrott ;2015;Jul;0;0
Bräcke kommun;Våldsbrott ;2015;Aug;5;77
Bräcke kommun;Våldsbrott ;2015;Sep;4;62
Bräcke kommun;Våldsbrott ;2015;Okt;2;31
Bräcke kommun;Våldsbrott ;2015;Nov;3;46
Bräcke kommun;Våldsbrott ;2015;Dec;3;46
Burlöv kommun;Våldsbrott ;2015;Jan;27;156
Burlöv kommun;Våldsbrott ;2015;Feb;14;81
Burlöv kommun;Våldsbrott ;2015;Mar;15;87
Burlöv kommun;Våldsbrott ;2015;Apr;17;98
Burlöv kommun;Våldsbrott ;2015;Maj;11;64
Burlöv kommun;Våldsbrott ;2015;Jun;13;75
Burlöv kommun;Våldsbrott ;2015;Jul;6;35
Burlöv kommun;Våldsbrott ;2015;Aug;4;23
Burlöv kommun;Våldsbrott ;2015;Sep;15;87
Burlöv kommun;Våldsbrott ;2015;Okt;28;162
Burlöv kommun;Våldsbrott ;2015;Nov;23;133
Burlöv kommun;Våldsbrott ;2015;Dec;10;58
Båstad kommun;Våldsbrott ;2015;Jan;8;56
Båstad kommun;Våldsbrott ;2015;Feb;4;28
Båstad kommun;Våldsbrott ;2015;Mar;9;63
Båstad kommun;Våldsbrott ;2015;Apr;10;69
Båstad kommun;Våldsbrott ;2015;Maj;5;35
Båstad kommun;Våldsbrott ;2015;Jun;8;56
Båstad kommun;Våldsbrott ;2015;Jul;25;174
Båstad kommun;Våldsbrott ;2015;Aug;4;28
Båstad kommun;Våldsbrott ;2015;Sep;6;42
Båstad kommun;Våldsbrott ;2015;Okt;15;104
Båstad kommun;Våldsbrott ;2015;Nov;8;56
Båstad kommun;Våldsbrott ;2015;Dec;32;222
Dals-Ed kommun;Våldsbrott ;2015;Jan;0;0
Dals-Ed kommun;Våldsbrott ;2015;Feb;1;21
Dals-Ed kommun;Våldsbrott ;2015;Mar;0;0
Dals-Ed kommun;Våldsbrott ;2015;Apr;4;84
Dals-Ed kommun;Våldsbrott ;2015;Maj;2;42
Dals-Ed kommun;Våldsbrott ;2015;Jun;2;42
Dals-Ed kommun;Våldsbrott ;2015;Jul;3;63
Dals-Ed kommun;Våldsbrott ;2015;Aug;2;42
Dals-Ed kommun;Våldsbrott ;2015;Sep;1;21
Dals-Ed kommun;Våldsbrott ;2015;Okt;5;105
Dals-Ed kommun;Våldsbrott ;2015;Nov;3;63
Dals-Ed kommun;Våldsbrott ;2015;Dec;2;42
Danderyd kommun;Våldsbrott ;2015;Jan;24;74
Danderyd kommun;Våldsbrott ;2015;Feb;19;59
Danderyd kommun;Våldsbrott ;2015;Mar;12;37
Danderyd kommun;Våldsbrott ;2015;Apr;11;34
Danderyd kommun;Våldsbrott ;2015;Maj;17;53
Danderyd kommun;Våldsbrott ;2015;Jun;13;40
Danderyd kommun;Våldsbrott ;2015;Jul;22;68
Danderyd kommun;Våldsbrott ;2015;Aug;13;40
Danderyd kommun;Våldsbrott ;2015;Sep;40;124
Danderyd kommun;Våldsbrott ;2015;Okt;18;56
Danderyd kommun;Våldsbrott ;2015;Nov;25;77
Danderyd kommun;Våldsbrott ;2015;Dec;12;37
Degerfors kommun;Våldsbrott ;2015;Jan;4;42
Degerfors kommun;Våldsbrott ;2015;Feb;4;42
Degerfors kommun;Våldsbrott ;2015;Mar;5;52
Degerfors kommun;Våldsbrott ;2015;Apr;1;10
Degerfors kommun;Våldsbrott ;2015;Maj;10;105
Degerfors kommun;Våldsbrott ;2015;Jun;5;52
Degerfors kommun;Våldsbrott ;2015;Jul;4;42
Degerfors kommun;Våldsbrott ;2015;Aug;3;31
Degerfors kommun;Våldsbrott ;2015;Sep;5;52
Degerfors kommun;Våldsbrott ;2015;Okt;5;52
Degerfors kommun;Våldsbrott ;2015;Nov;5;52
Degerfors kommun;Våldsbrott ;2015;Dec;8;84
Dorotea kommun;Våldsbrott ;2015;Jan;0;0
Dorotea kommun;Våldsbrott ;2015;Feb;1;36
Dorotea kommun;Våldsbrott ;2015;Mar;0;0
Dorotea kommun;Våldsbrott ;2015;Apr;1;36
Dorotea kommun;Våldsbrott ;2015;Maj;3;109
Dorotea kommun;Våldsbrott ;2015;Jun;0;0
Dorotea kommun;Våldsbrott ;2015;Jul;1;36
Dorotea kommun;Våldsbrott ;2015;Aug;3;109
Dorotea kommun;Våldsbrott ;2015;Sep;0;0
Dorotea kommun;Våldsbrott ;2015;Okt;0;0
Dorotea kommun;Våldsbrott ;2015;Nov;1;36
Dorotea kommun;Våldsbrott ;2015;Dec;0;0
Eda kommun;Våldsbrott ;2015;Jan;4;47
Eda kommun;Våldsbrott ;2015;Feb;2;24
Eda kommun;Våldsbrott ;2015;Mar;0;0
Eda kommun;Våldsbrott ;2015;Apr;11;130
Eda kommun;Våldsbrott ;2015;Maj;11;130
Eda kommun;Våldsbrott ;2015;Jun;5;59
Eda kommun;Våldsbrott ;2015;Jul;10;118
Eda kommun;Våldsbrott ;2015;Aug;4;47
Eda kommun;Våldsbrott ;2015;Sep;3;35
Eda kommun;Våldsbrott ;2015;Okt;16;189
Eda kommun;Våldsbrott ;2015;Nov;8;94
Eda kommun;Våldsbrott ;2015;Dec;2;24
Ekerö kommun;Våldsbrott ;2015;Jan;17;63
Ekerö kommun;Våldsbrott ;2015;Feb;9;34
Ekerö kommun;Våldsbrott ;2015;Mar;14;52
Ekerö kommun;Våldsbrott ;2015;Apr;17;63
Ekerö kommun;Våldsbrott ;2015;Maj;21;78
Ekerö kommun;Våldsbrott ;2015;Jun;16;60
Ekerö kommun;Våldsbrott ;2015;Jul;4;15
Ekerö kommun;Våldsbrott ;2015;Aug;15;56
Ekerö kommun;Våldsbrott ;2015;Sep;12;45
Ekerö kommun;Våldsbrott ;2015;Okt;15;56
Ekerö kommun;Våldsbrott ;2015;Nov;17;63
Ekerö kommun;Våldsbrott ;2015;Dec;11;41
Eksjö kommun;Våldsbrott ;2015;Jan;15;90
Eksjö kommun;Våldsbrott ;2015;Feb;9;54
Eksjö kommun;Våldsbrott ;2015;Mar;7;42
Eksjö kommun;Våldsbrott ;2015;Apr;18;108
Eksjö kommun;Våldsbrott ;2015;Maj;18;108
Eksjö kommun;Våldsbrott ;2015;Jun;14;84
Eksjö kommun;Våldsbrott ;2015;Jul;13;78
Eksjö kommun;Våldsbrott ;2015;Aug;24;144
Eksjö kommun;Våldsbrott ;2015;Sep;8;48
Eksjö kommun;Våldsbrott ;2015;Okt;21;126
Eksjö kommun;Våldsbrott ;2015;Nov;22;132
Eksjö kommun;Våldsbrott ;2015;Dec;37;222
Emmaboda kommun;Våldsbrott ;2015;Jan;4;44
Emmaboda kommun;Våldsbrott ;2015;Feb;3;33
Emmaboda kommun;Våldsbrott ;2015;Mar;4;44
Emmaboda kommun;Våldsbrott ;2015;Apr;4;44
Emmaboda kommun;Våldsbrott ;2015;Maj;9;99
Emmaboda kommun;Våldsbrott ;2015;Jun;6;66
Emmaboda kommun;Våldsbrott ;2015;Jul;4;44
Emmaboda kommun;Våldsbrott ;2015;Aug;6;66
Emmaboda kommun;Våldsbrott ;2015;Sep;5;55
Emmaboda kommun;Våldsbrott ;2015;Okt;7;77
Emmaboda kommun;Våldsbrott ;2015;Nov;12;133
Emmaboda kommun;Våldsbrott ;2015;Dec;13;144
Enköping kommun;Våldsbrott ;2015;Jan;20;48
Enköping kommun;Våldsbrott ;2015;Feb;32;77
Enköping kommun;Våldsbrott ;2015;Mar;16;39
Enköping kommun;Våldsbrott ;2015;Apr;31;75
Enköping kommun;Våldsbrott ;2015;Maj;33;79
Enköping kommun;Våldsbrott ;2015;Jun;22;53
Enköping kommun;Våldsbrott ;2015;Jul;28;67
Enköping kommun;Våldsbrott ;2015;Aug;26;63
Enköping kommun;Våldsbrott ;2015;Sep;25;60
Enköping kommun;Våldsbrott ;2015;Okt;42;101
Enköping kommun;Våldsbrott ;2015;Nov;24;58
Enköping kommun;Våldsbrott ;2015;Dec;16;39
Eskilstuna kommun;Våldsbrott ;2015;Jan;140;138
Eskilstuna kommun;Våldsbrott ;2015;Feb;122;120
Eskilstuna kommun;Våldsbrott ;2015;Mar;115;113
Eskilstuna kommun;Våldsbrott ;2015;Apr;168;166
Eskilstuna kommun;Våldsbrott ;2015;Maj;152;150
Eskilstuna kommun;Våldsbrott ;2015;Jun;157;155
Eskilstuna kommun;Våldsbrott ;2015;Jul;125;123
Eskilstuna kommun;Våldsbrott ;2015;Aug;183;180
Eskilstuna kommun;Våldsbrott ;2015;Sep;146;144
Eskilstuna kommun;Våldsbrott ;2015;Okt;132;130
Eskilstuna kommun;Våldsbrott ;2015;Nov;132;130
Eskilstuna kommun;Våldsbrott ;2015;Dec;140;138
Eslöv kommun;Våldsbrott ;2015;Jan;32;99
Eslöv kommun;Våldsbrott ;2015;Feb;20;62
Eslöv kommun;Våldsbrott ;2015;Mar;25;77
Eslöv kommun;Våldsbrott ;2015;Apr;24;74
Eslöv kommun;Våldsbrott ;2015;Maj;16;50
Eslöv kommun;Våldsbrott ;2015;Jun;24;74
Eslöv kommun;Våldsbrott ;2015;Jul;34;105
Eslöv kommun;Våldsbrott ;2015;Aug;41;127
Eslöv kommun;Våldsbrott ;2015;Sep;18;56
Eslöv kommun;Våldsbrott ;2015;Okt;30;93
Eslöv kommun;Våldsbrott ;2015;Nov;26;80
Eslöv kommun;Våldsbrott ;2015;Dec;23;71
Essunga kommun;Våldsbrott ;2015;Jan;4;72
Essunga kommun;Våldsbrott ;2015;Feb;3;54
Essunga kommun;Våldsbrott ;2015;Mar;4;72
Essunga kommun;Våldsbrott ;2015;Apr;5;90
Essunga kommun;Våldsbrott ;2015;Maj;1;18
Essunga kommun;Våldsbrott ;2015;Jun;2;36
Essunga kommun;Våldsbrott ;2015;Jul;4;72
Essunga kommun;Våldsbrott ;2015;Aug;3;54
